Date,Change %
"Dec 29, 2017",-0.43%
"Dec 28, 2017",-0.99%
"Dec 27, 2017",0.43%
"Dec 22, 2017",-0.69%
"Dec 21, 2017",0.67%
"Dec 20, 2017",-1.06%
"Dec 19, 2017",-0.81%
"Dec 18, 2017",1.68%
"Dec 15, 2017",0.43%
"Dec 14, 2017",-0.88%
"Dec 13, 2017",-0.82%
"Dec 12, 2017",0.69%
"Dec 11, 2017",-0.03%
"Dec 08, 2017",-0.21%
"Dec 07, 2017",0.48%
"Dec 06, 2017",-0.32%
"Dec 05, 2017",0.67%
"Dec 04, 2017",1.44%
"Dec 01, 2017",-0.65%
"Nov 30, 2017",-0.62%
"Nov 29, 2017",-0.08%
"Nov 28, 2017",0.67%
"Nov 27, 2017",-0.72%
"Nov 24, 2017",0.27%
"Nov 23, 2017",0.38%
"Nov 22, 2017",-0.53%
"Nov 21, 2017",0.16%
"Nov 20, 2017",0.70%
"Nov 17, 2017",-0.40%
"Nov 16, 2017",1.03%
"Nov 15, 2017",0.08%
"Nov 14, 2017",-0.70%
"Nov 13, 2017",-0.43%
"Nov 10, 2017",-1.01%
"Nov 09, 2017",-0.84%
"Nov 08, 2017",0.08%
"Nov 07, 2017",-1.33%
"Nov 06, 2017",-0.26%
"Nov 03, 2017",0.08%
"Nov 02, 2017",-0.59%
"Nov 01, 2017",1.33%
"Oct 31, 2017",0.55%
"Oct 30, 2017",-0.11%
"Oct 27, 2017",1.22%
"Oct 26, 2017",2.73%
"Oct 25, 2017",-0.76%
"Oct 24, 2017",-0.57%
"Oct 23, 2017",-0.11%
"Oct 20, 2017",-0.72%
"Oct 19, 2017",-1.37%
"Oct 18, 2017",0.69%
"Oct 17, 2017",-0.58%
"Oct 16, 2017",0.42%
"Oct 13, 2017",0.37%
"Oct 12, 2017",1.24%
"Oct 11, 2017",0.60%
"Oct 10, 2017",1.21%
"Oct 09, 2017",0.80%
"Oct 06, 2017",-1.09%
"Oct 05, 2017",0.83%
"Oct 04, 2017",-0.36%
"Oct 03, 2017",0.36%
"Oct 02, 2017",0.75%
"Sep 29, 2017",1.12%
"Sep 28, 2017",-0.06%
"Sep 27, 2017",-1.68%
"Sep 26, 2017",-0.44%
"Sep 25, 2017",0.50%
"Sep 22, 2017",2.46%
"Sep 21, 2017",-0.95%
"Sep 20, 2017",0.45%
"Sep 19, 2017",-0.84%
"Sep 18, 2017",0.06%
"Sep 15, 2017",-0.28%
"Sep 14, 2017",-0.44%
"Sep 13, 2017",0.17%
"Sep 12, 2017",-0.44%
"Sep 11, 2017",1.18%
"Sep 08, 2017",0.14%
"Sep 07, 2017",0.37%
"Sep 06, 2017",0.48%
"Sep 05, 2017",-0.25%
"Sep 04, 2017",-0.37%
"Sep 01, 2017",0.34%
"Aug 31, 2017",0.62%
"Aug 30, 2017",-0.14%
"Aug 29, 2017",-0.45%
"Aug 28, 2017",-0.42%
"Aug 25, 2017",-1.03%
"Aug 24, 2017",0.93%
"Aug 23, 2017",0.62%
"Aug 22, 2017",1.23%
"Aug 21, 2017",-0.23%
"Aug 18, 2017",-0.51%
